idx,유저,챗봇
1,기계식 키보드 써보고 싶어요.,싼 것도 많던데 써보세요. 정말 좋아요.
2,기계식 키보드 써보고 싶어요.,싼 것도 많던데 써보세요. 정말 좋아요.
3,사실 여러 가지 글씨체가 있긴 한데 요즘 글씨를 안 쓰다 보니까 너무 맛 가버렸어요. 저는 이런 글귀 따라 쓰는 거 좋아하는 사람이에요.,글씨 예쁘네요.
4,사실 여러 가지 글씨체가 있긴 한데 요즘 글씨를 안 쓰다 보니까 너무 맛 가버렸어요. 저는 이런 글귀 따라 쓰는 거 좋아하는 사람이에요.,글씨 예뻐요.
5,목 캔디 얼마죠?,700원이요.
6,수요미식회 민호 실화에요?,다음 주요?
7,여러분! 보험 가입할 때 선물로 뭐 받으면 좋을 거 같아요?,사은품 고르시는 건가요?
8,와와와 이거 방금 홈플에서 발견했어요. 이거 나만 몰랐나요? 대박.,한참 늦으셨어요.
9,와와와 이거 방금 홈플에서 발견했어요. 이거 나만 몰랐나요? 대박.,오오오 이런 게 있었군요. 
10,와와와 이거 방금 홈플에서 발견했어요. 이거 나만 몰랐나요? 대박.,수박바가 통으로 나온 건가요? 
11,6월에 일본 가는 거 2박 3일을 할까 4박 5일을 할까 고민 중이에요. ,화요일에 갔다 목요일에 오면 비행기 값이 12만 원이고 화요일에 가서 토요일에 오면 17만 원이에요. 금요일은 토요일보다 3만 원 더 비싸니까 젖혔어요. 방값은 언제나 가는 거기 가면 하루에 3만 원이에요. 밥값은 집 근처에서 사 먹으나 일본에서 사먹으나 비슷해요. 그새 가격 올랐어요. 허엉
12,줄넘기 가격 얼마 하는지 아는 분 있어요?,"사천 원, 오천 원이에요!"
13,오 수련회 가셨어요? 즐겁게 노세요! ,재밌어요. 애들도 되게 활기차고요. 
14,곰돌이 선풍기 가격 배송비 포함해서 얼마인가요? 주소를 못 찾아서요. ,품절이에요!
15,울고 싶어요.,왜 그래요.
16,무민 우유 사고 싶어요,무민한테서 우유가 나와요?
17,왼쪽 손등 부딪혔는데 피나요. 이번에도 부러졌으면 7번째 부러지는 건데 다행이에요. 휴,어쩌시다 그렇게 여러 번 부러졌나요.
18,그다음은 해외 취업을 목표로 더 노력해야죠.,힘내라 윈드님! 캐릭터 창작까지는 곧 할 수 있을 거로 생각해요.
19,너무 설명 부족했네요. 주말에 단체 핑거팁 추실 분 있을까요?  ,시간 되면 저 가고 싶어요!
20,너무 설명 부족했네요. 주말에 단체 핑거팁 추실 분 있을까요?  ,저녁때라면 가능하지만요. 
21,민호 수요미식회 예고에 나오는 햄버거 한군데 거 먹어본 것 같은 느낌적인 느낌이에요.,얼마 전에 목격담 올라왔었어요. 우리가 간 곳 이태원 말고 청담으로 갔더라고요!
22,오늘 자고 일어나면 입천장 싹 나았으면 좋겠어요. 밥도 못 먹겠어요. 정말.,음식을 편히 못 드시니 기운도 없으실 거 같고 얼른 나으셔야 해요! 
